Depth,year,d15N,Al,As,Ba,Be,Bi,Ca,Cd,Co,Cr,Cu,Fe,K,Li,Mg,Mn,Mo,Na,Ni,P,Pb,Sb,Se,Sn,Sr,Ti,Tl,U,V,Y,Zn
0,2015.55,10.26,1600,2.8,24,0.014142136,0.06363961,12000,2.9,3.7,9,45,4300,2000,1.414213562,2300,36,0.4,960,11,3100,2.6,0.565685425,3.2,0.353553391,76,300,0.05,0.39,13,1.7,150
1,2012,NA,1700,2.9,24,0.03,0.06363961,17000,2.7,3.6,9.4,50,4500,2000,1.414213562,2400,38,0.7,1100,11,3200,3,0.565685425,1.5,1.4,67,280,0.014142136,0.46,13,1.6,150
2,2009.24,9.99,1800,3.1,27,0.02,0.06363961,21000,2.9,3.6,8.8,46,4600,2000,1.414213562,2400,33,0.5,1100,12,3200,2.6,0.565685425,1.3,0.8,75,280,0.02,0.44,14,1.6,170
4,1999.26,9.76,1500,2.5,21,0.014142136,0.06363961,19000,2.9,3.1,8.9,47,3800,1700,1.414213562,2400,30,0.5,1100,11,3000,2.5,0.565685425,1.6,0.353553391,84,230,0.014142136,0.4,12,1.3,160
6,1987.2,10.11,1800,2.5,30,0.03,0.06363961,47000,2.6,4.1,8.9,42,4800,1700,1.414213562,2300,35,0.4,1000,12,2800,2.1,0.565685425,1.5,0.353553391,170,330,0.02,0.34,13,1.7,150
8,1973.39,9.87,1700,3,23,0.02,0.06363961,17000,2.8,3.5,8.5,44,4100,1700,1.414213562,2200,32,0.4,860,12,2900,2.5,0.565685425,0.494974747,0.353553391,71,260,0.014142136,0.41,12,1.5,150
10,1948.96,9.8,2200,3,48,0.02,0.06363961,33000,2.8,4,9.1,42,5600,1900,2,2600,40,0.5,960,12,2700,2.3,0.565685425,1,0.353553391,110,400,0.03,0.42,15,1.8,150
11,1925.56,10.53,2200,1.9,58,0.02,0.06363961,100000,1.7,4.2,7.4,29,5400,1600,2,2200,40,0.2,1200,10,2400,1.2,0.565685425,0.494974747,0.353553391,270,450,0.03,0.23,11,1.5,100
12,1913.87,10.65,2200,2.3,43,0.02,0.06363961,56000,2.3,4.5,9.2,31,5600,1300,2,2500,41,0.4,920,9.9,2400,1.6,0.565685425,0.494974747,0.353553391,160,390,0.03,0.31,14,3.2,140
14,1902.18,11.03,3400,1.7,95,0.04,0.06363961,28000,2.7,6.6,11,38,8600,2200,4,3300,61,0.2,630,10,3400,0.6,0.565685425,1.9,0.353553391,84,790,0.07,0.25,21,2.8,150
15,1872.6,10.8,2900,1.3,76,0.03,0.06363961,78000,1.7,5.5,9.2,23,7500,1600,3,2800,54,0.1,840,8.7,3400,0.47,0.565685425,1.5,0.353553391,180,610,0.04,0.17,16,2.6,100